CLAIM_ID,CURRENT_CLAIM,ATTACK,SEVERITY,SUPPORTED_AS_WRITTEN,RECOMMENDED_REVISION,SOURCE_EVIDENCE
C1,Perception carries significant but incomplete information about target-state geometry,"Could reflect estimator/rank ceiling rather than a genuine perceptual limit",MODERATE,YES,"Add: 'under the frozen support estimator'; keep 'outside-support residual' as representation-level",O1/O2/O2.1/O2.2/O2.5
C2,A low-dimensional target-state residual exists outside perception support,"'Low-dimensional' could be an artifact of the D=2 outside basis choice",MAJOR,PARTIALLY,"State D=2 outside basis was frozen a priori; call it 'low-dimensional under the frozen D=2 representation'",O2.6
C3,Target-state residual orientation is subject-specific,"At N=8 apparent subject-specificity can arise from limited data / measurement instability",MAJOR,PARTIALLY,"Rewrite to 'subject-specific under the tested representation and transfer procedure'; pair with X3 (scalar reliability does not explain the failure-predictive geometry)",O2.10
C4,Not predictable from the tested perception phenotype,"Absence-of-evidence: only the tested phenotype failed",MODERATE,YES (as negative),"Ensure wording 'not predictable from the TESTED perception phenotype' (failure to predict, not impossibility)",O2.11
C5,Not predictable from anatomy/behaviour covariates,"Same absence-of-evidence risk; covariate set is finite",MODERATE,YES (as negative),"'no reproducible structure from the TESTED covariates'",O2.13
C6,Eight observations (M4T2) recover >=50% of the native-oracle gap on average in both ROIs,"Reviewers read as 'eight trials suffice for imagery decoding'",CRITICAL,NO (if unqualified),"Always: 'smallest PROSPECTIVELY TESTED common calibration burden under the FROZEN estimator that closed >=half the native-oracle gap in both primary ROIs on the DEVELOPMENT cohort'; pair with coverage + no robust N* + replication",O2.9
C7,Perception prior improves recovery but does not reduce the eight-observation minimum,"'minimum' unqualified",MODERATE,YES,"Carry the same 'minimum' qualifiers as C6",O2.12
C8,Eight-observation frontier is average-only and not schedule-robust,"Fine; ensure it is not buried",MINOR,YES,"Keep prominent; cite coverage 0.656/0.579 and N_TRIALS_ROBUST_STAR=None",O2.14
C9,Outside-support repeat-geometry agreement predicts calibration robustness,"Could be measurement reliability rather than imagery-specific geometry",MAJOR,YES,"Pair every statement with X3 result (scalar reliability does NOT predict margin); say 'predicts' never 'causes'",O2.15
C10,Q_IN weaker than Q_OUT,"Fine",MINOR,YES,"No change",O2.15
C11,One perception<->imagery principal-angle invariant (B_angles) survives triviality controls,"Exploratory; single invariant; multiregime",MODERATE,YES (exploratory),"Label exploratory; note 3/4 blocks pipeline-trivial; do not call it a conserved law",X1
C12,No reproducible discrete two-state structure,"Absence-of-evidence; could be power",MODERATE,YES (as negative),"'no reproducible discrete two-state structure was recovered (0/8; K2 never beat K1)'; note E_STATE heavy-tail structure DID exist",X2
C13,No repeat-stable angular scaffold; scalar reliability does not predict margin,"Absence-of-evidence",MODERATE,YES (as negative),"'not supported / not predicted by the tested scalar reliability'",X3
C14,Repeat projector perturbations are reproducibly anisotropic,"Anisotropy could be projector-geometry artifact",MAJOR,YES,"State matched isotropic norm/rank null + cross-half reproducibility; report eff-rank ~19-28 (dominant direction on a high-rank cloud, NOT globally rank-1)",X4
C15,The dominant drift mode does NOT predict calibration failure,"Good negative; keep",MINOR,YES (as negative),"Keep; note opposite sign",X4
C16,Failure-predictive repeat geometry is structured but distributed,"Synthesis across exploratory gates",MODERATE,YES (exploratory synthesis),"Label as exploratory synthesis; 'not captured by the simplest latent summaries TESTED'",X1/X2/X3/X4
C17,Independent replication required; preregistered but not executed,"Must not read as done",CRITICAL-if-misread,YES,"Keep explicit 'not yet executed; no independent participant acquired'",O2.16/O2.16-SEC
C18,Independent method reproduction/extension of Roy et al. (not exact),"Must not imply bitwise replication",MODERATE,YES,"Keep ORIGINAL_CODE_REPRODUCTION_UNAVAILABLE + BITWISE_REPLICATION_UNAVAILABLE",program
