CLAIM,STATUS,SOURCE_GATE,PRIMARY_OR_EXPLORATORY,SUPPORTED_WORDING,FORBIDDEN_OVERCLAIM,INDEPENDENT_REPLICATION_REQUIRED
Perception carries significant but incomplete information about target-state geometry,SUPPORTED,O1/O2/O2.1/O2.2/O2.5,PRIMARY,"perception provides significant predictive structure but a substantial target-native component lies outside perception support","perception fully determines imagery; imagery is replay of perception",YES
A low-dimensional target-state residual exists outside perception support,SUPPORTED,O2.6,PRIMARY,"the missing target-state basis is low-dimensional under the frozen D=2 outside representation","universal low-rank law of imagery",YES
Target-state residual orientation is subject-specific under the tested representation and transfer procedure,SUPPORTED,O2.10,PRIMARY,"composite target-state geometry is subject-specific dominant in cross-subject transfer under the tested representation and transfer procedure (failure of transfer not proof of biological uniqueness)","subject-specific biological mechanism identified; geometry biologically unique to each person",YES
Target-state orientation is not predictable from the tested perception phenotype,SUPPORTED (negative),O2.11,PRIMARY,"subject-specific geometry not predictable from the tested perception phenotype","perception can never predict imagery",YES
Target-state orientation is not predictable from anatomy/behaviour covariates,SUPPORTED (negative),O2.13,PRIMARY,"no reproducible tested-covariate structure","no covariate anywhere could predict it",YES
Eight direct imagery observations (M4T2) recover >=50% of the native-oracle gap on average in both ROIs,SUPPORTED,O2.9,PRIMARY,"smallest prospectively tested common calibration burden UNDER THE FROZEN ESTIMATOR closing >=half the native-oracle gap in both primary ROIs on the DEVELOPMENT cohort was 8 observations (M4 T2); ventral median TOTAL 0.569 (7/8) FCF 0.596 (8/8); lateral 0.530 (6/8) FCF 0.591 (8/8); not a demonstrated lower bound","universal 8-trial minimum for imagery decoding; eight trials suffice generally",YES
A fixed perception prior improves recovery but does not reduce the eight-observation minimum,SUPPORTED,O2.12,PRIMARY,"perception prior beneficial but eight-trial minimum not reduced","perception prior removes the need for imagery calibration",YES
The eight-observation frontier is an average result and is not schedule-robust,SUPPORTED (negative),O2.14,PRIMARY,"eight-trial minimum average-only not schedule-robust; median coverage 0.656 ventral 0.579 lateral; no robust N_TRIALS_STAR","eight trials guarantees calibration",YES
Outside-support repeat-geometry agreement predicts calibration robustness,SUPPORTED,O2.15,PRIMARY,"schedule-level Spearman(Q_OUT,robustness margin) median rho 0.423 ventral 0.477 lateral; 8/8 both; Holm-significant","Q_OUT causes calibration success; Q_OUT is a mechanism",YES
Within-support agreement (Q_IN) is a weaker predictor than outside-support (Q_OUT),SUPPORTED,O2.15,PRIMARY,"Q_IN median rho 0.131 ventral 0.119 lateral (weaker than Q_OUT)","within-support carries no information",YES
One perception<->imagery principal-angle invariant (B_angles) survives pipeline-triviality controls in both ROIs,SUPPORTED,X1,EXPLORATORY,"a single aggregate principal-angle invariant survived the pipeline-triviality control in both ROIs","a conserved transformation law; universal invariant",YES
No reproducible discrete two-state latent structure,SUPPORTED (negative),X2,EXPLORATORY,"no reproducible discrete two-state structure; held-out K2-K1 median -0.113 ventral -0.100 lateral; 0/8 positive both","imagery has no latent structure of any kind",YES
No repeat-stable angular scaffold and scalar reliability does not predict calibration margin,SUPPORTED (negative),X3,EXPLORATORY,"no repeat-stable angular scaffold; scalar Student-t reliability does not predict margin (rho 0.004 ventral 0.064 lateral)","reliability is irrelevant to imagery decoding",YES
Repeat projector perturbations are reproducibly anisotropic (dominant reproducible drift mode),SUPPORTED,X4,EXPLORATORY,"repeat projector perturbations anisotropic beyond isotropic norm/rank-matched null; ANISO_CENTRED +0.093 ventral +0.101 lateral; 8/8; Holm-significant; cross-half reproducible","low-dimensional neural drift proven; causal drift; attractor",YES
The dominant geometric drift mode does NOT predict calibration failure,SUPPORTED (negative),X4,EXPLORATORY,"the dominant drift mode did not predict calibration failure (rho_FAILURE -0.128 ventral -0.099 lateral; opposite sign)","anisotropy causes calibration failure",YES
The failure-predictive repeat geometry is structured but distributed/higher-rank,SUPPORTED (synthesis),X1/X2/X3/X4,EXPLORATORY,"failure-predictive geometry is not a discrete state scalar reliability angular scaffold or single dominant mode; appears distributed/higher-rank","a single latent variable explains calibration failure",YES
Independent replication is required and is preregistered but not yet executed,SUPPORTED,O2.16/O2.16-SEC,PRIMARY,"independent replication preregistered and frozen but not yet executed; no independent participant acquired","O2.16 replicated the findings; replication completed",N/A (is the replication)
Project is an independent method reproduction/extension of Roy et al. (not an exact replication),SUPPORTED,program,PRIMARY,"independent method reproduction and extension; bitwise replication unavailable without original code and seeds","exact Roy et al. replication",NO
