component,paper_statement,source_location,explicit_or_ambiguous,candidate_implementations,effect_on_result,clarification_required,sensitivity_analysis,author_response,final_resolution
denoised_input_generation,"denoised vision = outputs of vis2vis, fed as inputs to vis2img",Methods (vis2vis/vis2img),AMBIGUOUS,"D0 no denoising; D1 strict out-of-fold; D2 fold-specific separation; D3 author-clarified",HIGH -- upstream of the headline effect size,"exact fold-level generation; is every denoised input strictly out-of-fold; ordering of vis2vis vs vis2img selection; fold reuse; handling of train/val/test denoised outputs",Run D0/D1/D2 as preregistered variants; report all,PENDING,UNRESOLVED
pairing_seeds,"vision paired with randomly selected imagery repeat of same stimulus",Methods (pairing),AMBIGUOUS,"single fixed seed; many seeds averaged",MEDIUM -- variance across pairings,"exact RNG; original seeds",Repeat over >=50 pairing seeds; report mean and spread,PENDING,UNRESOLVED
pairing_averaging,"random pairing within identity",Methods,AMBIGUOUS,"single realization; average over realizations",MEDIUM,"whether results averaged over pairing realizations",Report both single-realization and averaged,PENDING,UNRESOLVED
rank_tie_breaking,"rank near 99% of peak validation performance",Methods/Figures,AMBIGUOUS,"smallest rank >=99% peak; argmax; 1-SE rule",LOW-MEDIUM,"exact tie-break rule at the 99% threshold",Compare smallest-rank-at-99% vs argmax,PENDING,UNRESOLVED
ridge_tie_breaking,"100 log-spaced 1e-3..1e5 selected on validation",Methods,AMBIGUOUS,"argmax validation r; 1-SE rule",LOW,"tie-break among near-equal ridge values",Compare argmax vs 1-SE,PENDING,UNRESOLVED
centering_scaling_scope,"reduced-rank ridge regression",Methods,AMBIGUOUS,"center on train only; per-fold; global",MEDIUM -- leakage risk if global,"whether centering/scaling fit on train identities only",Fit all normalization on train fold only (leakage-safe default); test alternatives,PENDING,PARTIALLY_RESOLVED_default_train_only
null_shuffling_repetitions,"vis2vis shuffling restricted within split",Methods,AMBIGUOUS,"n permutations unspecified",LOW,"number of null shuffles",Use >=1000 within-split permutations,PENDING,UNRESOLVED
aggregation_across_folds,"4-fold cross-validation",Methods,AMBIGUOUS,"mean of fold metrics; pooled out-of-fold predictions",LOW-MEDIUM,"fold aggregation method",Use pooled out-of-fold predictions (default); report fold-mean too,PENDING,PARTIALLY_RESOLVED_default_pooled_oof
aggregation_across_subjects,"results averaged across subjects",Methods/Figures,AMBIGUOUS,"mean; median; hierarchical",LOW,"subject aggregation and uncertainty",Subject-level points + hierarchical bootstrap,PENDING,PARTIALLY_RESOLVED_subject_level
figure_generation_thresholds,"figures show selection near 99% peak",Figures,AMBIGUOUS,"exact plotting threshold",LOW,"figure thresholds vs analysis thresholds",Match analysis threshold; note if figures differ,PENDING,UNRESOLVED
voxel_snr_definition,"voxel SNR from NSD-core, 98th percentile within ROI",Methods,EXPLICIT,"NSD-core ncsnr per voxel",settled,none,n/a,n/a,RESOLVED_explicit
split_allocation,"4 train / 2 val / 2 test of 8 repeats, all identities in every split",Methods,EXPLICIT,"deterministic per-identity allocation",settled,"repeat-index assignment order",Fix by seed in manifest,PENDING,RESOLVED_structure_explicit
