planned_identity,family,historical_cue_candidate,stimulus_file,sha256,source_license,status
s0,simple,L,TO_BIND,TO_BIND,NSD-Imagery (verify redistribution/research-use),PLACEHOLDER
s1,simple,V,TO_BIND,TO_BIND,NSD-Imagery (verify redistribution/research-use),PLACEHOLDER
s2,simple,R,TO_BIND,TO_BIND,NSD-Imagery (verify redistribution/research-use),PLACEHOLDER
s3,simple,P,TO_BIND,TO_BIND,NSD-Imagery (verify redistribution/research-use),PLACEHOLDER
s4,simple,H,TO_BIND,TO_BIND,NSD-Imagery (verify redistribution/research-use),PLACEHOLDER
s5,simple,E,TO_BIND,TO_BIND,NSD-Imagery (verify redistribution/research-use),PLACEHOLDER
n0,naturalistic,UNRESOLVED(naturalistic-scene identities not in sealed subset),TO_BIND,TO_BIND,NSD-Imagery complex-scene set (verify),PLACEHOLDER
n1,naturalistic,UNRESOLVED(naturalistic-scene identities not in sealed subset),TO_BIND,TO_BIND,NSD-Imagery complex-scene set (verify),PLACEHOLDER
n2,naturalistic,UNRESOLVED(naturalistic-scene identities not in sealed subset),TO_BIND,TO_BIND,NSD-Imagery complex-scene set (verify),PLACEHOLDER
n3,naturalistic,UNRESOLVED(naturalistic-scene identities not in sealed subset),TO_BIND,TO_BIND,NSD-Imagery complex-scene set (verify),PLACEHOLDER
n4,naturalistic,UNRESOLVED(naturalistic-scene identities not in sealed subset),TO_BIND,TO_BIND,NSD-Imagery complex-scene set (verify),PLACEHOLDER
n5,naturalistic,UNRESOLVED(naturalistic-scene identities not in sealed subset),TO_BIND,TO_BIND,NSD-Imagery complex-scene set (verify),PLACEHOLDER
