METHODS_SENTENCE_ID,CLAIM,SEALED_ARTIFACT,COMMIT,EXACT_FIELD,CONFIDENCE,CAVEAT
M4-BETA-1,Primary betas are NSD-Imagery B0 = nsdimagerybetas_fithrf (b2-compatible / betas_fithrf),roy_s2_5r/beta_version_evidence.json,3be9303,project_branches.B0 = "nsdimagerybetas_fithrf (= b2)"; nsd_manual_mapping.b2 = betas_fithrf,VERIFIED,"'similar to b2' != bitwise-identical released file (caveat field)"
M4-BETA-2,"'similar to b2'; not bitwise identical to original Roy file",roy_s2_5r/beta_version_evidence.json,3be9303,caveat = "'similar to b2' != bitwise-identical released file",VERIFIED,ORIGINAL_CODE_REPRODUCTION_UNAVAILABLE preserved
M4-BETA-3,GLMdenoise/RR (b3) is a sensitivity branch (B1) not the primary,roy_s2_5r/beta_version_evidence.json,3be9303,project_branches.B1 = "nsdimagerybetas_fithrf_GLMdenoise_RR (= b3)"; precise_wording,VERIFIED,manuscript must not say primary used GLMdenoise_RR
M4-BETA-4,paper-vs-ours beta concordance = close defensible reconstruction,roy_s2_7r/final_method_concordance.csv,03b8fa3,row M-BETA status = CLOSE_DEFENSIBLE_RECONSTRUCTION,VERIFIED,not MATCH; explicitly a reconstruction
M4-SPACE-1,Native func1pt8mm 1.8-mm grid; NIfTI 81x104x83; single shared affine,roy_s1/subj01_spatial_alignment.json,b7ec53e,nifti_shape=[81,104,83]; voxel_mm=[1.8,1.8,1.8]; affine_hash identical across 5 NIfTI artifacts,VERIFIED,subj01 reference example
M4-SPACE-2,No spatial resampling; HDF5 reversed storage axes (Z,Y,X) = layout convention not interpolation,roy_s1/subj01_spatial_alignment.json,b7ec53e,correspondence = "axis-reversed (Z,Y,X); direct voxel mapping betas[:,z,y,x]; NO resampling"; status=ALIGNMENT_PASS,VERIFIED,applies to O1/O2 representation
M4-VOXEL-1,"Eligible = ROI mask INTERSECT valid NSD-Imagery INTERSECT finite NSD-core ncsnr",roy_s2_2b/roi_selection_manifest.json,b123072,"selection_policy = 'ROI mask ∩ valid_nsdimagery ∩ finite NSD-core ncsnr; ...'",VERIFIED,frozen PHASE_1_FROZEN_BEFORE_OUTCOME
M4-VOXEL-2,Strict > ROI-specific 98th percentile; per-ROI; identical voxels B0/B1; no threshold adaptation,roy_s2_2b/roi_selection_manifest.json,b123072,"selection_policy = '... strict > ROI-specific 98th pct; identical voxels for B0/B1; NO threshold adaptation'",VERIFIED,not 'top 2%' shorthand
M4-VOXEL-3,ncsnr source path per subject func1pt8mm/betas_fithrf/ncsnr.nii.gz,roy_s2_2b/roi_selection_manifest.json,b123072,ncsnr_source = "nsddata_betas/ppdata/subj01/func1pt8mm/betas_fithrf/ncsnr.nii.gz",VERIFIED,subj01 path shown; per-subject application; do not extrapolate threshold to cohort
M4-VOXEL-4,subj01 ventral 7604 eligible / thr ~0.62417 / 153 selected,roy_s2_2b/roi_selection_manifest.json,b123072,rois.ventral: valid_finite_voxels=7604 threshold=0.6241726565361021 selected_voxels=153,VERIFIED,implementation/QC example only; not cohort-wide
M4-VOXEL-5,subj01 lateral 7799 eligible / thr ~0.80783 / 156 selected,roy_s2_2b/roi_selection_manifest.json,b123072,rois.lateral: valid_finite_voxels=7799 threshold=0.8078272199630736 selected_voxels=156,VERIFIED,implementation/QC example only; not cohort-wide
M3-ROI-1,Early visual prf-visualrois V1=1,2 V2=3,4 V3=5,6 hV4=7,roy_s2_2b/roi_selection_manifest.json,b123072,rois.V1.labels=[1,2] V2=[3,4] V3=[5,6] hV4=[7] source=prf-visualrois,VERIFIED,label 5 = V3 here vs ventral under streams
M3-ROI-2,Streams ventral=5 lateral=6 parietal=7,roy_s2_2b/roi_selection_manifest.json,b123072,rois.ventral.labels=[5] lateral=[6] parietal=[7] source=streams,VERIFIED,primary = ventral+lateral; parietal reserved
M3-ROI-3,Seven-ROI set concordant with paper,roy_s2_7r/final_method_concordance.csv,03b8fa3,row M-ROI status=MATCH,VERIFIED,V1 reference/discovery excluded from primary
