gate,exact_metric,effect,N,p,correction,ROI,status,artifact_source,commit_sha
O2.9,median TOTAL recovery (M4T2),0.5690 (7/8 >=0.5),8,n/a (frozen sufficiency criterion; no null),Holm n/a,ventral,MINIMAL_COMPOSITE_TARGET_STATE_CALIBRATION_ESTABLISHED,artifacts/mindcompiler/operator_o2_9/roi_resource_frontier.csv,380c9be
O2.9,median FCF (M4T2),0.5964 (8/8 >=0.5),8,n/a,Holm n/a,ventral,MINIMAL_COMPOSITE_TARGET_STATE_CALIBRATION_ESTABLISHED,artifacts/mindcompiler/operator_o2_9/roi_resource_frontier.csv,380c9be
O2.9,median TOTAL recovery (M4T2),0.5302 (6/8 >=0.5),8,n/a,Holm n/a,lateral,MINIMAL_COMPOSITE_TARGET_STATE_CALIBRATION_ESTABLISHED,artifacts/mindcompiler/operator_o2_9/roi_resource_frontier.csv,380c9be
O2.9,median FCF (M4T2),0.5910 (8/8 >=0.5),8,n/a,Holm n/a,lateral,MINIMAL_COMPOSITE_TARGET_STATE_CALIBRATION_ESTABLISHED,artifacts/mindcompiler/operator_o2_9/roi_resource_frontier.csv,380c9be
O2.9,N_TRIALS_STAR (common-sufficient minimum),8 (M4 x T2),8,n/a,n/a,both,MINIMAL_COMPOSITE_TARGET_STATE_CALIBRATION_ESTABLISHED,artifacts/mindcompiler/operator_o2_9/scientific_status.json,380c9be
O2.10,cross-subject donor transfer sharedness,subject-specific dominant (transfer near null),8,participant sign-flip (see gate),Holm (gate family),both,COMPOSITE_TARGET_STATE_GEOMETRY_SUBJECT_SPECIFIC_DOMINANT,artifacts/mindcompiler/operator_o2_10/scientific_status.json,7078b71
O2.11,perception-only prediction of target orientation,not predictive,8,participant sign-flip (see gate),Holm (gate family),both,SUBJECT_SPECIFIC_GEOMETRY_NOT_PREDICTABLE_FROM_TESTED_PERCEPTION_PHENOTYPE,artifacts/mindcompiler/operator_o2_11/results/scientific_status.json,5f1a1fd
O2.12,perception-prior hybrid recovery vs threshold,improves but does not reach sub-eight threshold,8,participant sign-flip (see gate),Holm (gate family),both,PERCEPTION_PRIOR_BENEFICIAL_BUT_EIGHT_TRIAL_MINIMUM_NOT_REDUCED,artifacts/mindcompiler/operator_o2_12/results/scientific_status.json,1af0087
O2.13,covariate-corrected prediction of target orientation,no reproducible covariate coupling,8,participant sign-flip (see gate),Holm (gate family),both,NO_REPRODUCIBLE_TESTED_COVARIATE_STRUCTURE,artifacts/mindcompiler/operator_o2_13/results/scientific_status.json,291061f
O2.14,median schedule coverage (M4T2),0.6563,8,n/a (coverage fraction; frozen 0.75 robustness threshold),n/a,ventral,EIGHT_TRIAL_MINIMUM_AVERAGE_ONLY_NOT_SCHEDULE_ROBUST,artifacts/mindcompiler/operator_o2_14/results/participant_schedule_coverage.csv,5cad808
O2.14,median schedule coverage (M4T2),0.5794,8,n/a,n/a,lateral,EIGHT_TRIAL_MINIMUM_AVERAGE_ONLY_NOT_SCHEDULE_ROBUST,artifacts/mindcompiler/operator_o2_14/results/participant_schedule_coverage.csv,5cad808
O2.14,N_TRIALS_ROBUST_STAR,None (no schedule-robust minimal set),8,n/a,n/a,both,EIGHT_TRIAL_MINIMUM_AVERAGE_ONLY_NOT_SCHEDULE_ROBUST,artifacts/mindcompiler/operator_o2_14/results/scientific_status.json,5cad808
O2.15,median Spearman(Q_OUT robustness-margin),0.4228 (8/8 positive),8,Holm-reject (true),Holm (gate family),ventral,REPEAT_GEOMETRY_INSTABILITY_SUPPORTED_AS_PRIMARY_FAILURE_MODE,artifacts/mindcompiler/operator_o2_15/results/component_inference.json,ba763a6
O2.15,median Spearman(Q_OUT robustness-margin),0.4765 (8/8 positive),8,Holm-reject (true),Holm (gate family),lateral,REPEAT_GEOMETRY_INSTABILITY_SUPPORTED_AS_PRIMARY_FAILURE_MODE,artifacts/mindcompiler/operator_o2_15/results/component_inference.json,ba763a6
O2.15,median Spearman(Q_IN robustness-margin),0.1309 (8/8 positive; weaker than Q_OUT),8,Holm-reject (true),Holm (gate family),ventral,REPEAT_GEOMETRY_INSTABILITY_SUPPORTED_AS_PRIMARY_FAILURE_MODE,artifacts/mindcompiler/operator_o2_15/results/component_inference.json,ba763a6
O2.15,median Spearman(Q_IN robustness-margin),0.1189 (8/8 positive; weaker than Q_OUT),8,Holm-reject (true),Holm (gate family),lateral,REPEAT_GEOMETRY_INSTABILITY_SUPPORTED_AS_PRIMARY_FAILURE_MODE,artifacts/mindcompiler/operator_o2_15/results/component_inference.json,ba763a6
X1,B_angles invariant survival (pipeline-triviality),non-pipeline-trivial (only surviving invariant),8,sign-flip p=0.00390625,Holm (4-block family),ventral,INVARIANT_STRUCTURE_MULTIREGIME,artifacts/mindcompiler/x1_gauge_invariant_shared_law/results/component_inference.json,6726b98
X1,B_angles invariant survival (pipeline-triviality),non-pipeline-trivial (only surviving invariant),8,sign-flip p=0.00390625,Holm (4-block family),lateral,INVARIANT_STRUCTURE_MULTIREGIME,artifacts/mindcompiler/x1_gauge_invariant_shared_law/results/component_inference.json,6726b98
X2,median held-out K2-K1 DELTA_LL,-0.1130 (n_DLL_pos 0/8),8,sign-flip (not supported),Holm (2-test family),ventral,NO_REPRODUCIBLE_LATENT_STATE_STRUCTURE,artifacts/mindcompiler/x2_latent_imagery_states/results/component_inference.json,bc0f5a2
X2,median held-out K2-K1 DELTA_LL,-0.1002 (n_DLL_pos 0/8),8,sign-flip (not supported),Holm (2-test family),lateral,NO_REPRODUCIBLE_LATENT_STATE_STRUCTURE,artifacts/mindcompiler/x2_latent_imagery_states/results/component_inference.json,bc0f5a2
X3,median Spearman(scalar-reliability margin) rho_SCALE,0.0042 (H2 not supported),8,sign-flip p=0.5508 (not rejected),Holm (4-test family),ventral,NO_JOINT_ANGULAR_RELIABILITY_STRUCTURE,artifacts/mindcompiler/x3_angular_continuous_reliability/results/primary_four_test_inference.json,7940f1c
X3,median Spearman(scalar-reliability margin) rho_SCALE,0.0641 (H2 not supported),8,sign-flip p=0.0938 (not rejected),Holm (4-test family),lateral,NO_JOINT_ANGULAR_RELIABILITY_STRUCTURE,artifacts/mindcompiler/x3_angular_continuous_reliability/results/primary_four_test_inference.json,7940f1c
X3,angle scaffold H1 (pipeline-constrained),H1 not supported (pipeline-constrained majority),8,sign-flip p=0.00390625 but triviality-blocked,Holm (4-test family),both,NO_JOINT_ANGULAR_RELIABILITY_STRUCTURE,artifacts/mindcompiler/x3_angular_continuous_reliability/results/primary_four_test_inference.json,7940f1c
X4,median ANISO_CENTRED (H1),+0.093 (8/8 positive),8,sign-flip p=0.00390625; Holm-reject,Holm (4-test family),ventral,GEOMETRIC_DRIFT_EXISTS_BUT_FAILURE_LINK_PARTIAL,artifacts/mindcompiler/x4_geometric_drift/results/primary_four_test_inference.json,27d4918
X4,median ANISO_CENTRED (H1),+0.101 (8/8 positive),8,sign-flip p=0.00390625; Holm-reject,Holm (4-test family),lateral,GEOMETRIC_DRIFT_EXISTS_BUT_FAILURE_LINK_PARTIAL,artifacts/mindcompiler/x4_geometric_drift/results/primary_four_test_inference.json,27d4918
X4,median rho_FAILURE (MODE_GAP->margin H2),-0.128 (H2 not supported; opposite sign),8,sign-flip p=0.99 (not rejected),Holm (4-test family),ventral,GEOMETRIC_DRIFT_EXISTS_BUT_FAILURE_LINK_PARTIAL,artifacts/mindcompiler/x4_geometric_drift/results/primary_four_test_inference.json,27d4918
X4,median rho_FAILURE (MODE_GAP->margin H2),-0.099 (H2 not supported; opposite sign),8,sign-flip p=0.96 (not rejected),Holm (4-test family),lateral,GEOMETRIC_DRIFT_EXISTS_BUT_FAILURE_LINK_PARTIAL,artifacts/mindcompiler/x4_geometric_drift/results/primary_four_test_inference.json,27d4918
O2.16,independent replication primary,not executed (no eligible independent cohort),n/a,n/a,n/a,both,O2_16_INDEPENDENT_REPLICATION_DATA_UNAVAILABLE,artifacts/mindcompiler/operator_o2_16/,0aa6f2d
O2.16-SEC,preregistered secondary endpoints (6 tests),frozen; not evaluated,n/a,n/a,Holm (6-test plan),both,O2_16_SECONDARY_ENDPOINTS_PREREGISTERED_AWAITING_INDEPENDENT_COHORT,artifacts/mindcompiler/o2_16_secondary_prereg/,1302ea5
